chr2L	2492131	2493866	5423.980559
chrM	10529	11764	5385.068319
chrM	4329	5864	5206.699295
chr2R	7811567	7813202	4472.454673
chr2L	14348131	14349466	4394.365508
chr3R	11430934	11432569	4324.510548
chrY	200314	201349	4238.805510
chr2L	18694831	18696366	4213.562227
chr2L	6610431	6612066	4123.849259
chr3R	24944334	24946069	3938.603640
chr2R	23564267	23565502	3872.300161
chrY	322214	323249	3810.874928
chr2R	16335667	16337402	3737.204207
chr2L	2884431	2887066	3597.220475
chr2L	16281531	16291266	3575.742113
chr2L	2877731	2879766	3554.177128
chrX	9778084	9779319	3297.118045
chr2R	11650967	11652602	3253.046139
chr3R	10867934	10869569	3176.112910
chr2R	24667767	24670102	3124.201914
chr3L	11561789	11563824	3083.470603
chr2L	23512531	23512966	3070.460844
chr2L	2009431	2010566	3070.197565
chr2R	6922667	6924102	3060.351788
chr2R	14859967	14861402	2933.729921
chr3R	27706234	27707969	2863.664053
chr3R	10377534	10378969	2863.636757
chr2R	12423067	12424202	2808.632544
chr2L	7041831	7043366	2745.637918
chr3L	19686689	19688024	2710.274889
chr2R	22561367	22562902	2705.589114
chr3R	28544334	28545769	2680.607280
chr3R	13088034	13089169	2680.582197
chr3R	13837534	13838469	2620.335634
chr2R	17759967	17761602	2603.631261
chr3R	31251934	31253569	2600.393614
chr3R	22547234	22548469	2540.647786
chr2R	7988767	7990602	2522.845782
chr2R	13449867	13451202	2482.732748
chr3R	29868434	29869669	2481.342285
chr2L	8156431	8157566	2470.364801
chr3L	19870389	19871924	2469.262848
chr2R	8162967	8165702	2462.740424
chr2R	18183667	18184802	2442.804068
chr3R	5684934	5686569	2442.030824
chrX	9318884	9319919	2415.008867
chr3L	16377889	16379124	2409.982147
chr3R	19156134	19157569	2402.895715
chr3L	20768789	20772924	2390.373487
chr2R	23977967	23979802	2383.305563
chr2R	9251467	9252802	2363.530402
chr2L	6036431	6038766	2335.966877
chr3L	17475089	17477324	2331.682531
chrX	15062684	15064619	2331.098593
chr2L	11498231	11499666	2316.907707
chr3L	11690889	11692424	2312.207259
chr3R	5855934	5857169	2305.874682
chr3L	652689	655224	2292.791892
chr3L	19860889	19861924	2292.751461
chr3L	8720789	8722124	2273.409035
chr3R	10263634	10264969	2267.378652
chr3R	24270734	24271969	2267.369158
chr3R	14889634	14890969	2248.202946
chr2R	15540767	15542002	2246.008660
chr2R	12027167	12029302	2226.609650
chrM	7029	7864	2225.113572
chr2R	15380067	15381402	2207.229553
chr3R	25472134	25474169	2191.022364
chr2R	10730767	10732102	2149.439609
chr3R	23250934	23252269	2134.190924
chr3R	24586134	24587369	2134.181855
chr3L	14071389	14072524	2120.145550
chr3R	18219634	18221269	2115.377357
chr2R	23523067	23524802	2111.150594
chr2R	23709267	23710402	2092.076514
chr3R	25489634	25491669	2059.155289
chr2R	9959267	9960802	2054.113107
chr2L	1107831	1109166	2037.154606
chr2L	5052031	5053566	2037.147877
chr3L	11064289	11065524	2025.997111
chr3R	15287434	15288669	2021.938969
chr3L	22262489	22263924	2007.329357
chr3L	4193489	4194524	1988.674688
chr3L	4312989	4314124	1988.673122
chr3R	26862634	26863969	1984.931161
chr3R	15933434	15935769	1984.925352
chr2R	10645067	10646902	1978.763100
chr3R	12009534	12011469	1966.506243
chr3L	19590089	19591224	1951.577012
chr2R	7243567	7248202	1941.414559
chr3L	6487989	6489324	1933.124247
chr3R	23280634	23281969	1929.789184
chr2L	20922031	20923666	1928.310239
chrX	5737384	5738619	1924.325939
chr3L	20822889	20823924	1914.702090
chr2R	12320767	12321902	1904.244281
chr3L	4824389	4826424	1896.320045
chr2R	7539167	7540402	1885.764826
chr2R	24158767	24160302	1867.310680
chr3L	2631089	2632424	1769.241398
chrX	8714284	8715619	1768.077756
chr3R	18402234	18403669	1767.226153
chr3R	11962334	11963769	1767.211809
chr3R	17385434	17386469	1767.190054
chr3L	19092089	19093324	1751.296338
chr2L	452531	453766	1750.919409
